valor,comentario
negativo,la experiencia llegó grosera
negativo,el ambiente fue desastre
positivo,"calificacion 100%/10, satisfactorio comunicación"
neutro,"común soporte tecnico, 5/10"
positivo,experiencia delicioso y limpio
positivo,"calificación cinco/10, maravilloso empaque"
neutro,"regular experiencia, cuatro/10"
positivo,me encantó el empaque
negativo,"muy defectuoso diseño, no recomiendo este lugar"
positivo,el comunicación superó mis expectativas
negativo,"terrible web, cero estrellas"
neutro,"estándar pedido, tres estrellas"
negativo,"muy desastre personal, no recomiendo"
negativo,la página llego defectuosa
negativo,comunicación incompleto y desastre
neutro,"calificación 5/10, promedio experiencia"
negativo,la entrega es lleno de errores
negativo,experiencia roto
negativo,el atención llegó desastre
positivo,diseño maravilloso y fantástico
negativo,el pagina llego incompleta
negativo,el restaurante es frío
neutro,"aceptable pagina, 3 estrellas/10"
negativo,nunca volveré a sabor
positivo,atención atento y óptima
neutro,estándar soporte
negativo,muy tarde soporte tecnico
positivo,todo funcionó perfectamente
positivo,la diseño fue acogedor
positivo,"calificación 100/10, genial entrega"
positivo,compré 10 soporte técnico y todos fueron deliciosa
positivo,la pedido fue fantástico
neutro,"común comida, 4/10"
positivo,la pagina fue acogedora
negativo,"roto sabor, 2 estrellas/10"
positivo,la sabor es acogedor
negativo,el comida llego grosero
negativo,la pedido llegó pésima
positivo,"calificación 10/10, óptimo experiencia"
neutro,"calificacion 3/10, aceptable sabor"
neutro,adecuado sabor
negativo,"lenta empaque, 1 estrella/10"
neutro,pedido aceptable aunque tiene detalles
positivo,el soporte tecnico superó mis expectativas
negativo,la entrega llegó desastre
neutro,"común restaurante, cuatro/10"
negativo,rota calidad
negativo,pésima sabor
neutro,"estándar página, cuatro/10"
negativo,el ambiente llego lento
negativo,precio pésima
negativo,la diseño llegó lenta
negativo,soporte técnico fría
negativo,el producto llego mala
positivo,"calificacion 100%/10, limpio soporte técnico"
negativo,la experiencia llego roto
negativo,"muy fría atención, no recomiendo"
negativo,soporte dañada y sin sabor
negativo,"rota ambiente, 0/10"
positivo,compre cinco soporte y todos fueron rápida
positivo,el comunicación fue perfecta
negativo,la personal fue rota
positivo,"óptimo experiencia, 10 estrellas"
positivo,seguro entrega desde hace diez años
negativo,muy pésima comunicacion
positivo,"buena precio, 100 estrellas"
negativo,"muy mala ambiente, no recomiendo"
neutro,personal básica aunque tiene detalles
positivo,el servicio fue eficiente
negativo,el precio llegó dañado
positivo,el restaurante es bonito
neutro,comida básica pero podría mejorar
neutro,soporte aceptable aunque tiene detalles
neutro,adecuado soporte técnico
neutro,la empaque es normal
positivo,"eficiente servicio, le doy 10 estrellas"
positivo,"genial producto, cinco/10"
positivo,"óptima diseño, 100/10"
neutro,básico restaurante
positivo,buena precio
negativo,web dañado
negativo,la sabor es tarde
negativo,el comunicacion llego grosero
negativo,el comunicacion fue dañada
positivo,"óptimo soporte tecnico, 5 estrellas estrellas"
negativo,la pedido llegó incompleta
neutro,el atención es estándar
positivo,muy fantástico sabor
negativo,diseño mala
negativo,la comunicación es dañada
negativo,"dañado precio, 1 estrella estrellas"
negativo,"grosero comida, 1 estrella estrellas"
positivo,"bonita comunicacion, 10 estrellas estrellas"
positivo,funcionó perfectamente
negativo,la calidad llego grosero
negativo,el atención es desastre
neutro,comunicacion adecuada pero podría mejorar
positivo,compré cinco experiencia y todos fueron amable
negativo,la diseño fue lento
negativo,la sabor es terrible
negativo,"muy decepcionante comida, no recomiendo este lugar"
positivo,excelente entrega desde hace diez años
positivo,me encantó el servicio
negativo,"muy rota sabor, no recomiendo este lugar"
positivo,el comida superó mis expectativas
negativo,nunca volveré a comida
positivo,compre 5 diseño y todos fueron deliciosa
neutro,el empaque es estándar
positivo,me encantó el soporte tecnico
neutro,página normal aunque tiene detalles
negativo,"frío soporte técnico, 0%/10"
positivo,el atención fue limpio
negativo,"grosero soporte tecnico, 2 estrellas estrellas"
negativo,grosera soporte tecnico
neutro,"común atención, 4 estrellas/10"
positivo,muy amable ambiente
positivo,el diseño fue limpia
neutro,comida aceptable
neutro,restaurante común aunque tiene detalles
positivo,sabor acogedor
positivo,"calificación diez/10, atenta página"
positivo,el comida es segura
positivo,"calificacion diez/10, genial ambiente"
